Date,Symbol,Open,High,Low,Close,Volume
2020-03-13 08-PM,ETHUSD,129.94,131.82,126.87,128.71,1940673.93
2020-03-13 07-PM,ETHUSD,119.51,132.02,117.1,129.94,7579741.09
2020-03-13 06-PM,ETHUSD,124.47,124.85,115.5,119.51,4898735.81
2020-03-13 05-PM,ETHUSD,124.08,127.42,121.63,124.47,2753450.92
2020-03-13 04-PM,ETHUSD,124.85,129.51,120.17,124.08,4461424.71
2020-03-13 03-PM,ETHUSD,128.39,128.9,116.06,124.85,7378976.0
2020-03-13 02-PM,ETHUSD,134.03,137.9,125.5,128.39,3733916.89
2020-03-13 01-PM,ETHUSD,131.35,140.95,128.99,134.03,9582732.93
2020-03-13 12-PM,ETHUSD,128.93,134.6,126.95,131.35,3906590.52
2020-03-13 11-AM,ETHUSD,132.6,133.17,126.01,128.93,3311080.29
2020-03-13 10-AM,ETHUSD,133.8,134.99,128.9,132.6,3483436.48
2020-03-13 09-AM,ETHUSD,127.12,136.53,126.62,133.8,2767584.44
2020-03-13 08-AM,ETHUSD,127.57,133.1,121.94,127.12,6808571.23
2020-03-13 07-AM,ETHUSD,127.28,129.0,120.83,127.57,5255468.75
2020-03-13 06-AM,ETHUSD,116.87,127.93,114.45,127.28,5701691.64
2020-03-13 05-AM,ETHUSD,111.87,124.0,110.75,116.87,6507796.34
2020-03-13 04-AM,ETHUSD,130.91,130.91,106.43,111.87,7802511.68
2020-03-13 03-AM,ETHUSD,117.02,148.0,115.15,130.91,19431820.56
2020-03-13 02-AM,ETHUSD,98.88,127.74,90.0,117.02,18546413.74
2020-03-13 01-AM,ETHUSD,107.09,110.99,97.0,98.88,8079507.05
2020-03-13 12-AM,ETHUSD,110.3,117.5,102.92,107.09,10329663.69
2020-03-12 11-PM,ETHUSD,126.78,126.82,101.22,110.3,19338895.12
2020-03-12 10-PM,ETHUSD,130.3,134.25,124.83,126.78,8822759.15
2020-03-12 09-PM,ETHUSD,128.15,132.14,122.83,130.3,6500631.29
2020-03-12 08-PM,ETHUSD,138.0,138.96,124.04,128.15,19731142.71
2020-03-12 07-PM,ETHUSD,137.04,139.69,136.43,138.0,3815314.09
